timestamp,open,high,low,close,volume
2024-03-17,181.84,204.59,178.55,201.69,845274.52404766
2024-03-18,201.65,209.99,193.74,195.88,827457.96332696
2024-03-19,195.88,198.5,165.15,169.99,1673969.77874651
2024-03-20,169.83,193.19,162.5,191.9,1221644.42142059
2024-03-21,191.73,196.0,175.76,179.51,1020854.47365517
2024-03-22,179.41,181.76,167.69,175.03,546884.78730139
2024-03-23,175.08,178.9,169.85,172.74,457445.97549488
2024-03-24,172.71,186.74,171.35,183.67,626966.91941013
2024-03-25,183.83,194.5,181.01,189.05,727076.48163947
2024-03-26,189.02,196.5,186.26,190.45,478307.74530236
2024-03-27,190.45,192.77,180.2,186.21,501145.00522804
2024-03-28,186.21,190.84,180.59,189.69,463658.07767522
2024-03-29,189.65,192.98,183.34,192.26,420460.21937994
2024-03-30,192.21,200.0,191.01,194.3,427153.77011955
2024-03-31,194.3,203.1,193.83,202.6,251423.67275635
2024-04-01,202.61,204.28,187.06,192.32,553554.81429501
2024-04-02,192.33,192.36,176.0,181.47,651902.20203253
2024-04-03,181.46,192.1,177.1,185.2,506182.3481819
2024-04-04,185.12,190.07,180.37,184.0,364100.86970077
2024-04-05,184.0,185.11,168.11,174.45,734722.93274119
2024-04-06,174.46,180.0,173.64,178.78,240359.57692373
2024-04-07,178.78,182.71,176.85,179.53,209021.67331037
2024-04-08,179.49,184.9,175.49,180.73,495240.29363547
2024-04-09,180.73,180.89,169.2,172.35,353567.30261368
2024-04-10,172.29,175.98,162.0,173.39,548957.79603606
2024-04-11,173.39,176.38,170.02,172.56,342189.40826299
2024-04-12,172.5,175.9,138.87,153.3,870780.44949629
2024-04-13,153.29,154.97,115.04,138.5,1487431.28074685
2024-04-14,138.62,152.78,133.58,151.47,706044.0865876
2024-04-15,151.37,156.12,133.71,138.65,766517.16450032
2024-04-16,138.6,140.68,126.59,136.31,695666.1342839
2024-04-17,136.29,142.71,126.92,132.02,653306.64653071
2024-04-18,131.8,143.96,127.79,142.06,958875.38315783
2024-04-19,142.1,147.72,128.49,142.48,991106.157895
2024-04-20,142.52,152.28,139.8,151.2,400929.95434101
2024-04-21,151.26,153.52,146.5,148.72,382853.38302017
2024-04-22,148.73,158.4,146.84,157.03,499544.73153725
2024-04-23,157.02,160.19,153.18,154.67,474888.61956638
2024-04-24,154.66,159.78,145.58,147.71,716481.81728014
2024-04-25,147.71,149.46,142.05,144.85,570572.13073061
2024-04-26,144.84,145.97,138.28,139.06,334592.46995387
2024-04-27,139.16,143.0,133.08,141.22,218825.87321005
2024-04-28,141.24,144.61,137.19,137.91,221729.14909563
2024-04-29,137.92,138.88,133.46,137.66,225735.28354385
2024-04-30,137.67,139.81,121.11,126.68,547225.06964907
2024-05-01,126.68,135.76,118.06,134.51,620979.56570067
2024-05-02,134.51,140.68,128.13,137.64,500840.58825943
2024-05-03,137.64,145.07,136.0,143.72,574713.50114673
2024-05-04,143.72,149.0,142.54,146.05,210515.4833317
2024-05-05,146.06,148.08,143.23,145.71,197798.96127419
2024-05-06,145.71,156.75,145.55,152.79,460610.76813592
2024-05-07,152.8,159.36,148.0,148.01,455009.50717926
2024-05-08,148.0,149.89,139.89,142.13,332589.11114534
2024-05-09,142.09,153.26,140.66,152.67,276269.54554587
2024-05-10,152.64,155.58,144.41,146.05,310129.09787068
2024-05-11,146.02,147.6,143.12,145.39,162397.98594411
2024-05-12,145.31,147.62,142.53,143.43,179348.19153118
2024-05-13,143.42,150.68,137.92,147.41,344708.18108658
2024-05-14,147.39,148.97,141.63,142.01,185250.00545239
2024-05-15,142.0,158.74,141.12,158.56,416538.75840908
2024-05-16,158.53,164.62,156.67,159.27,401609.00943318
2024-05-17,159.27,172.37,159.27,169.52,514336.19829415
2024-05-18,169.5,175.89,168.72,172.51,198740.43198436
2024-05-19,172.5,175.0,166.29,169.95,199673.32162197
2024-05-20,170.04,188.0,167.73,186.76,491492.08647585
2024-05-21,186.71,188.77,174.39,178.21,385219.50135598
2024-05-22,178.14,183.3,175.01,176.87,346248.6198342
2024-05-23,176.91,180.79,165.36,176.01,372525.69229855
2024-05-24,176.0,176.02,162.44,167.75,252966.90750836
2024-05-25,167.76,170.5,166.07,168.3,207406.18761131
2024-05-26,168.3,168.3,161.0,163.29,385558.34343661
2024-05-27,163.29,172.0,163.29,169.98,210262.32738996
2024-05-28,170.0,173.0,164.32,168.56,252876.5488073
2024-05-29,168.56,173.79,167.0,168.06,336646.57665556
2024-05-30,168.06,172.39,163.55,166.97,223862.12654404
2024-05-31,166.97,170.72,163.81,165.49,203215.88911966
